Intelligent,V1.00,Glass Alsar
Serial Number,Station ID,Site ID,PASS/FAIL,Error Message,Fail Item,Test Start Time,Total Test Time,Calib-Left-0,Calib-Left-1,Calib-Left-2,Calib-Left-3,Calib-Left-4,Calib-Left-5,Calib-Left-6,Calib-Left-7,Calib-Left-8,Calib-Left-9,Calib-Left-10,Calib-Left-11,Calib-Left-12,Calib-Left-13,Calib-Left-14,Calib-Left-15,Calib-Left-16,ALS2-LED-0,ALS2-LED-1,ALS2-LED-2,ALS2-LED-3,ALS2-LED-4,ALS2-LED-5,ALS2-LED-6,ALS2-LED-7,ALS2-LED-8,ALS2-LED-9,ALS2-LED-10,ALS2-LED-11,ALS2-LED-12,ALS2-LED-13,ALS2-LED-14,ALS2-LED-15,ALS2-LED-16
upper Limited,,,,,,,,160.80003,155.322754,155.322754,155.322754,155.322754,139.252792,139.252792,139.252792,139.252792,113.705696,113.705696,113.705696,113.705696,80.400002,80.400002,80.400002,80.400002,160.80003,155.322754,155.322754,155.322754,155.322754,139.252792,139.252792,139.252792,139.252792,113.705696,113.705696,113.705696,113.705696,80.400002,80.400002,80.400002,80.400002
Lower Limited,,,,,,,,159.199997,153.777252,153.777252,153.777252,153.777252,137.867203,137.867203,137.867203,137.867203,112.574303,112.574303,112.574303,112.574303,79.599998,79.599998,79.599998,79.599998,159.199997,153.777252,153.777252,153.777252,153.777252,137.867203,137.867203,137.867203,137.867203,112.574303,112.574303,112.574303,112.574303,79.599998,79.599998,79.599998,79.599998
Unit         ,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
nil,nil,[site id],FAIL,,ALS2-LED-15,nil,nil,160.5,154.8,154.2,154.2,154.3,138.2,138.5,138.3,138.3,113.2,113.4,112.9,113.1,80.1,79.9,80.1,80,160.8,155.2,154.6,154.7,154.6,138.5,138.9,138.6,138.7,113.6,113.4,113.2,113.5,80.4,80.3,80.5,80.3
nil,nil,[site id],FAIL,,ALS2-LED-0;ALS2-LED-1;ALS2-LED-2;ALS2-LED-3;ALS2-LED-4;ALS2-LED-5;ALS2-LED-6;ALS2-LED-7;ALS2-LED-8;ALS2-LED-9;ALS2-LED-10;ALS2-LED-11;ALS2-LED-12;ALS2-LED-13;ALS2-LED-14;ALS2-LED-15;ALS2-LED-16,nil,nil,160.5,154.8,154.2,154.3,154.3,138.2,138.6,138.3,138.4,113.4,113.4,112.9,112.9,79.9,80,79.8,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nil,nil,[site id],PASS,,,nil,nil,159.7,154.8,154.4,154.4,154.3,138.2,138.7,138.4,138.4,113.3,113.1,113,113,79.8,80.1,80,80,160.1,155.3,154.7,154.8,154.2,138.5,139.1,138.8,138.6,113.6,113.1,113.3,113.4,80.1,80.3,80.3,80.1
NG,nil,[site id],FAIL,,ALS2-LED-0;ALS2-LED-1;ALS2-LED-2;ALS2-LED-3;ALS2-LED-4;ALS2-LED-5;ALS2-LED-6;ALS2-LED-7;ALS2-LED-8;ALS2-LED-9;ALS2-LED-10;ALS2-LED-11;ALS2-LED-12,nil,nil,2778.713,2607.705,2735.961,2735.961,2650.457,2393.945,1923.673,2479.449,2479.449,1880.921,2094.681,2607.705,1752.665,1282.393,1282.393,1453.401,1239.641,68.748092534945,47.537624079411
NG,nil,[site id],FAIL,,ALS2-LED-12,nil,nil,159.8,154.6,154.5,154.6,154.9,138.6,138.4,138.7,138.4,113,113.1,113.3,113.4,79.9,80,80.1,80.2,160.2,155.3,155,155.1,155.2,139.1,138.9,138.7,138.7,113.4,113.4,113.5,113.8,80.2,80.4,80.4,80.4
NG,nil,[site id],FAIL,,ALS2-LED-0;ALS2-LED-7,nil,nil,160.5,154.3,154.3,154.3,154.6,138.4,138.5,138.9,138.7,113.3,113.1,113.2,113.3,79.9,79.9,79.9,79.9,161.1,154.8,154.8,154.3,155,138.7,139.1,139.3,139,113.7,113.5,113.4,113.6,80,80.3,80.2,80
nil,nil,[site id],PASS,,,nil,nil,159.9,154.2,154.4,154.6,154.5,138.2,138.6,138.5,138.3,112.9,113.4,113,113.2,80.1,80,79.8,80.2,160.3,154.7,154.3,155,154.8,138.5,138.9,138.9,138.2,113.2,113.7,113.3,113.4,80.3,80.3,80,80.3
